Economy,Year,Economy Code,Gender Gap (Female - Male),"Labor force with basic education, female (% of female working-age population with basic education)","Labor force with basic education, male (% of male working-age population with basic education)"
Peru,2023,PER,-15.929,58.686,74.615
Philippines,2022,PHL,-26.855,45.461,72.316
Poland,2023,POL,-14.234,10.700,24.934
Portugal,2023,PRT,-13.713,38.093,51.806
Puerto Rico,2015,PRI,-20.750,4.950,25.700
Qatar,2022,QAT,-44.790,49.470,94.260
Romania,2023,ROU,-28.893,15.421,44.314
Russian Federation,2023,RUS,-15.692,16.437,32.129
Rwanda,2023,RWA,-11.328,59.490,70.818
Samoa,2022,WSM,-34.411,27.724,62.135
San Marino,2022,SMR,-4.480,52.900,57.380
Sao Tome and Principe,2017,STP,-2.702,23.100,25.802
Saudi Arabia,2023,SAU,-45.710,22.826,68.536
Senegal,2022,SEN,-26.898,34.163,61.061
Serbia,2022,SRB,-18.365,27.558,45.923
Seychelles,2020,SYC,-10.434,19.207,29.641
Sierra Leone,2018,SLE,-6.203,42.478,48.681
Singapore,2022,SGP,-16.448,49.327,65.775
Sint Maarten (Dutch part),2023,SXM,,,
Slovak Republic,2023,SVK,-13.179,13.340,26.519
Slovenia,2023,SVN,-17.260,18.653,35.913
Solomon Islands,2023,SLB,,,
Somalia,2019,SOM,-38.801,24.670,63.471
South Africa,2023,ZAF,-12.526,44.200,56.726
South Sudan,2023,SSD,,,
Spain,2023,ESP,-17.341,36.362,53.703
Sri Lanka,2022,LKA,-45.120,28.052,73.172
St. Kitts and Nevis,2023,KNA,,,
St. Lucia,2022,LCA,-5.048,83.257,88.305
St. Martin (French part),2023,MAF,,,
St. Vincent and the Grenadines,2023,VCT,,,
Sudan,2022,SDN,-51.909,9.892,61.801
Suriname,2016,SUR,-35.781,48.976,84.757
Sweden,2023,SWE,-12.758,39.047,51.805
Switzerland,2023,CHE,-20.108,43.267,63.375
Syrian Arab Republic,2023,SYR,,,
Tajikistan,2023,TJK,,,
Tanzania,2020,TZA,-1.812,34.335,36.147
Thailand,2023,THA,-16.734,61.345,78.079
Timor-Leste,2022,TLS,-11.324,33.356,44.680
Togo,2022,TGO,-3.376,65.107,68.483
Tonga,2021,TON,-23.130,44.400,67.530
Trinidad and Tobago,2022,TTO,-18.672,28.862,47.534
Tunisia,2023,TUN,-49.631,22.919,72.550
Turkiye,2023,TUR,-37.616,27.705,65.321
Turkmenistan,2023,TKM,,,
Turks and Caicos Islands,2023,TCA,,,
Tuvalu,2022,TUV,-30.124,21.254,51.378
Uganda,2021,UGA,-7.592,78.146,85.738
Ukraine,2021,UKR,-14.983,25.716,40.699
United Arab Emirates,2022,ARE,-20.235,71.944,92.179
United Kingdom,2023,GBR,-15.135,49.161,64.296
United States,2023,USA,-24.765,31.338,56.103
Uruguay,2023,URY,-18.671,51.826,70.497
Uzbekistan,2020,UZB,-10.965,7.863,18.828
Vanuatu,2020,VUT,-12.375,40.440,52.815
"Venezuela, RB",2017,VEN,-37.304,42.840,80.144
Vietnam,2022,VNM,-7.893,69.151,77.044
Virgin Islands (U.S.),2023,VIR,,,
West Bank and Gaza,2022,PSE,-64.423,5.671,70.094
"Yemen, Rep.",2023,YEM,,,
Zambia,2022,ZMB,-10.573,53.325,63.898
Zimbabwe,2022,ZWE,-6.491,57.051,63.542
